AO-ID_ID-OA,DFRP-property-nbr_No-bien-RBIF,Property-name_Nom-du-bien_eng,Property-name_Nom-du-bien_fra,DFRP-structure-nbr_No-structure-RBIF,Structure-name_Nom-du-structure_eng,Structure-name_Nom-du-structure_fra,Interest-type_Type-de-propriete_eng,Interest-type_Type-de-propriete_fra,Year-built_Annee-de-construction,Heritage-code_Code-du-patrimoine,Heritage-designation_Designation-patrimoniale_eng,Heritage-designation_Designation-patrimoniale_fra,Region_eng,Region_fra,Structure-address_Adresse-du-structure_eng,Structure-address_Adresse-du-structure_fra,City_Ville,Province-code_Code-de-province,Province-territory_Province-territoire_eng,Province-territory_Province-territoire_fra,Postal-code_Code-postal,Assessment-fscl-yr_Ex-evaluation,Compliance-standard-applied_Norme-de-conformite-appliquee,Accessibility-score_Score-accessibilite
P500037-101-50000354,10519,"GC Site - Kitchener","Site GC - Kitchener",010519,"GC Building -Kitchener","Édifice GC - Kitchener",Crown-owned,"Propriété de l'État",1956,300,Recognized,Reconnu,ON,ON,"166 Frederick Street","166, rue Frederick",Kitchener,ON,Ontario,Ontario,"N2H 0A9",2019-2020,B651-18,48
P500041-101-50000363,31177,"GC Site - Barrie","Site GC - Barrie",031177,"GC Building - Barrie","Édifice GC - Barrie",Crown-owned,"Propriété de l'État",1976,400,Pending,"En attente",ON,ON,"48 Owen Street","48, rue Owen",Barrie,ON,Ontario,Ontario,"L4M 3H1",2023-2024,B651-18,79
P500046-101-50000373,09451,"GC Site - Kingston","Site GC - Kingston",009451,"GC Building (Former Post Office)","Édifice GC (Ancien bureau de poste)",Crown-owned,"Propriété de l'État",1859,200,Classified,Classé,ON,ON,"86 Clarence Street","86, rue Clarence",Kingston,ON,Ontario,Ontario,"K7L 1X3",2022-2023,B651-18,78
P500048-101-50000377,09530,"Bellevile Tax Services Office Site","Site Bureau des services fiscaux de Belleville",009530,"Bellevile Tax Services Office","Bureau des services fiscaux de Belleville",Crown-owned,"Propriété de l'État",1961,300,Recognized,Reconnu,ON,ON,"11 Station Street","11, rue Station",Belleville,ON,Ontario,Ontario,"K8N 2S2",2019-2020,B651-18,51
P500049-101-50000379,09531,"GC Site - Belleville","Site GC - Belleville",009531,"GC Building - Belleville","Édifice GC - Bellevile",Crown-owned,"Propriété de l'État",1968,500,"Not designated","Non désigné",ON,ON,"494 Dundas Street East","494, rue Dundas Est",Belleville,ON,Ontario,Ontario,"K8N 1G3",2022-2023,B651-18,66
P500051-101-50000382,11452,"GC Site - Parry Sound","Site GC - Parry Sound",011452,"GC Building - Parry Sound","Édifice GC - Parry Sound",Crown-owned,"Propriété de l'État",1955,500,"Not designated","Non désigné",ON,ON,"74 James Street","74, rue James","Parry Sound",ON,Ontario,Ontario,"P2A 1T0",2023-2024,B651-18,69
P500055-101-50000389,11718,"GC Site - Timmins","Site GC - Timmins",011718,"GC Building - Timmins","Édifice GC - Timmins",Crown-owned,"Propriété de l'État",1960,500,"Not designated","Non désigné",ON,ON,"120 Cedar Street South","120, rue Cedar Sud",Timmins,ON,Ontario,Ontario,"P4N 2G0",2023-2024,B651-18,76
P500056-101-50000391,11655,"Taxation Data Centre Site","Site Centre des données fiscales",011655,"Taxation Data Centre","Centre des données fiscales",Crown-owned,"Propriété de l'État",1978,400,Pending,"En attente",ON,ON,"1050 Notre Dame Avenue","1050, avenue Notre Dame","Greater Sudbury",ON,Ontario,Ontario,"P3A 2T4",2023-2024,B651-18,77
P500057-101-50000393,11641,"GC Site - Greater Sudbury","Site GC - Grand Sudbury",011641,"GC Building - Greater Sudbury","Édifice GC - Greater Sudbury",Crown-owned,"Propriété de l'État",1958,300,Recognized,Reconnu,ON,ON,"19 Lisgar Street","19, rue Lisgar","Greater Sudbury",ON,Ontario,Ontario,"P3E 3L4",2020-2021,B651-18,66
P500059-101-50000396,12165,"GC Site - Sioux Lookout","Site GC - Sioux Lookout",012165,"GC Building - Sioux Lookout","Édifice GC - Sioux Lookout",Crown-owned,"Propriété de l'État",1975,400,Pending,"En attente",ON,ON,"45 Prince Street","45, rue Prince","Sioux Lookout",ON,Ontario,Ontario,"P8T 1A7",2022-2023,B651-18,77
P500060-101-50000398,11949,"GC Site - Thunder Bay","Site GC - Thunder Bay",011949,"GC Building - Thunder Bay","Édifice GC - Thunder Bay",Crown-owned,"Propriété de l'État",1962,500,"Not designated","Non désigné",ON,ON,"221 Archibald Street North","221, rue Archibald Nord","Thunder Bay",ON,Ontario,Ontario,"P7C 3Y3",2023-2024,B651-18,78
P500061-101-50000400,12085,"GC Site - Fort Frances","Site GC - Fort Frances",012085,"GC Building - Fort Frances","Édifice GC - Fort Frances",Crown-owned,"Propriété de l'État",1929,300,Recognized,Reconnu,ON,ON,"301 Scott Street","301, rue Scott","Fort Frances",ON,Ontario,Ontario,"P9A 1H0",2022-2023,B651-18,80
P500062-101-50000402,11950,"GC Site - Thunder Bay","Site GC - Thunder Bay",011950,"GC Building - National Revenue","Édifice GC - Revenu national",Crown-owned,"Propriété de l'État",1915,300,Recognized,Reconnu,ON,ON,"201 May Street North","201, rue May Nord","Thunder Bay",ON,Ontario,Ontario,"P7C 3P4",2022-2023,B651-18,69
P500063-101-50000404,11951,"GC Site - 130 Syndicate, Thunder Bay","GC Site - 130, Syndicate, Thunder Bay",011951,"GC Building - Thunder Bay","Édifice GC - Thunder Bay",Crown-owned,"Propriété de l'État",1936,300,Recognized,Reconnu,ON,ON,"130 Syndicate Avenue South","130, avenue Syndicate Sud","Thunder Bay",ON,Ontario,Ontario,"P7E 1C7",2022-2023,B651-18,76
P500071-101-50000417,54078,"Canadian Atmospheric Reasearch Lab Site","Site Laboratoire da recherche atmosphérique du Canada",054078,"Environment Canada Building","Édifice d’Environnement Canada",Crown-owned,"Propriété de l'État",1970,300,Recognized,Reconnu,ON,ON,"4905 Dufferin Street","4905, rue Dufferin",Toronto,ON,Ontario,Ontario,"M3H 5T4",2019-2020,B651-18,45
P500071-102-80001757,54078,"Canadian Atmospheric Reasearch Lab Site","Site Laboratoire da recherche atmosphérique du Canada",104812,"Canadian Atmospheric Research Lab","Laboratoire canadien de recherche atmosphérique",Crown-owned,"Propriété de l'État",1970,300,Recognized,Reconnu,ON,ON,"4905 Dufferin Street","4905, rue Dufferin",Toronto,ON,Ontario,Ontario,"M3H 5T4",2019-2020,B651-18,54
P500074-101-50000422,54095,"Canada Centre Site","Site Centre Canada",054095,"Canada Centre","Centre Canada",Crown-owned,"Propriété de l'État",1984,600,"Not yet evaluated","Pas encore évalué",ON,ON,"200 Town Centre Court","200, cour Town Centre",Toronto,ON,Ontario,Ontario,"M1P 4X8",2019-2020,B651-18,54
P500093-101-50000444,54105,"GC Site - Sault Ste Marie","Site GC - Sault-Ste-Marie",054105,"GC Building - Sault Ste Marie","Édifice GC - Sault Ste-Marie",Crown-owned,"Propriété de l'État",1995,600,"Not yet evaluated","Pas encore évalué",ON,ON,"22 Bay Street","22, rue Bay","Sault Ste. Marie",ON,Ontario,Ontario,"P6A 5S2",2020-2021,B651-18,63
P501211-101-50002039,10643,"Tecumseh Site","Site Técumseh",010643,"Tecumseh Building","Édifice Tecumseh",Crown-owned,"Propriété de l'État",1958,300,Recognized,Reconnu,ON,ON,"120 Wellington Street West","120, rue Wellington Ouest",Chatham,ON,Ontario,Ontario,"N7M 4V9",2022-2023,B651-18,64
P501212-101-50002043,11034,"GC Site - Collingwood","Site GC - Colingwood",011034,"GC Building - Collingwood","Édifice GC - Collingwood",Crown-owned,"Propriété de l'État",1914,200,Classified,Classé,ON,ON,"44 Hurontario Street","44, rue Hurontario",Collingwood,ON,Ontario,Ontario,"L9Y 2L6",2023-2024,B651-18,78
P501213-101-50002046,09451,"GC Site - Kingston","Site GC - Kingston",103917,"GC Building - Custom's House","Édifice GC - Édifice de la douane",Crown-owned,"Propriété de l'État",1859,200,Classified,Classé,ON,ON,"294 King Street East","294, rue King Est",Kingston,ON,Ontario,Ontario,"K7L 3B2",2022-2023,B651-18,69
P501258-101-50002111,06479,"Sir Isaac Brock Site","Site Sir-Isaac-Brock",006479,"Sir Isaac Brock Building","Édifice Sir-Isaac-Brock",Crown-owned,"Propriété de l'État",2001,600,"Not yet evaluated","Pas encore évalué",ON,ON,"55 Bay Street North","55, rue Bay Nord",Hamilton,ON,Ontario,Ontario,"L8R 1N8",2022-2023,B651-18,71
P600006-101-60000316,13689,"GC Site - Regina","Site GC - Regina",013689,"GC Building - Regina","Édifice GC - Regina",Crown-owned,"Propriété de l'État",1937,300,Recognized,Reconnu,WST,Ouest,"1975 Scarth Street","1975, rue Scarth",Regina,SK,Saskatchewan,Saskatchewan,"S4P 2H1",2022-2023,B651-18,58
P600007-101-60000317,13686,"Taxation Site","Site de l'Impôt",013686,"Taxation Building","Immeuble de l'impôt",Crown-owned,"Propriété de l'État",1968,500,"Not designated","Non désigné",WST,Ouest,"1955 Smith Street","1955, rue Smith",Regina,SK,Saskatchewan,Saskatchewan,"S4P 2N9",2023-2024,B651-18,64
P600009-101-60000321,12702,"Winnipeg Taxation Centre Site","Site Centre fiscal de Winnipeg",012702,"Winnipeg Taxation Centre","Centre fiscal de Winnipeg",Crown-owned,"Propriété de l'État",1979,100,"Not applicable","N'est pas applicable",WST,Ouest,"66 Stapon Road","66, chemin Stapon",Winnipeg,MB,Manitoba,Manitoba,"R3C 3M2",2021-2022,B651-18,72
P600010-101-60000323,12648,"Canadian Grain Commission Site","Site Commission canadienne des grains",012648,"Canadian Grain Commission Building","Édifice de la Commission canadienne des grains",Crown-owned,"Propriété de l'État",1973,500,"Not designated","Non désigné",WST,Ouest,"303 Main Street","303, rue Main",Winnipeg,MB,Manitoba,Manitoba,"R3C 3G7",2019-2020,B651-18,78
P600011-101-60000325,12626,"Victory Site","Site de la Victoire",012626,"Victory Building","Édifice de la Victoire",Crown-owned,"Propriété de l'État",1935,200,Classified,Classé,WST,Ouest,"269 Main Street","269, rue Main",Winnipeg,MB,Manitoba,Manitoba,"R3C 1B2",2022-2023,B651-18,58
P600011-102-80001639,12626,"Victory Site","Site de la Victoire",012626,"Victory Building","Édifice de la Victoire",Crown-owned,"Propriété de l'État",1935,100,"Not applicable","N'est pas applicable",WST,Ouest,"269 Main Street","269, rue Main",Winnipeg,MB,Manitoba,Manitoba,"R3C 1B2",2022-2023,B651-18,58
P600012-101-60000327,12631,"Customs Examining Warehouse Site","Site Entrepôt de vérification des douanes",012631,"Customs Examining Warehouse","Entrepôt de vérification des douanes",Crown-owned,"Propriété de l'État",1911,300,Recognized,Reconnu,WST,Ouest,"145 McDermot Avenue","145, avenue McDermot",Winnipeg,MB,Manitoba,Manitoba,"R3B 0R9",2019-2020,B651-18,72
P600013-101-60000329,12633,"Stanley Knowles Federal Site","Site fédéral Stanley Knowles",012633,"Stanley Knowles Federal Building","Édifice fédéral Stanley Knowles",Crown-owned,"Propriété de l'État",1959,300,Recognized,Reconnu,WST,Ouest,"391 York Avenue","391, avenue York",Winnipeg,MB,Manitoba,Manitoba,"R3C 0P4",2019-2020,B651-18,68
P600014-101-60000331,12455,"GC Site - Brandon","Site GC - Brandon",012455,"GC Building - Brandon","Édifice GC - Brandon",Crown-owned,"Propriété de l'État",1930,500,"Not designated","Non désigné",WST,Ouest,"1039 Princess Avenue","1039, avenue Princess",Brandon,MB,Manitoba,Manitoba,"R7A 4J5",2023-2024,B651-18,65
P600020-101-60000341,12624,"MacDonald Site","Site MacDonald",012624,"MacDonald Building","Édifice MacDonald",Crown-owned,"Propriété de l'État",1961,500,"Not designated","Non désigné",WST,Ouest,"344 Edmonton Street","344, rue Edmonton",Winnipeg,MB,Manitoba,Manitoba,"R3B 2L4",2019-2020,B651-18,71
P600021-101-60000343,31575,"Revenue Canada Warehouse Site","Site Entrepôt de Revenu Canada",031575,"Revenue Canada Warehouse","Entrepôt de Revenu Canada",Crown-owned,"Propriété de l'État",1973,100,"Not applicable","N'est pas applicable",WST,Ouest,"201 Weston Street","201, rue Weston",Winnipeg,MB,Manitoba,Manitoba,"R3E 3H4",2022-2023,B651-18,64
P600212-101-60000536,21028,"GC Site - Inuvik","Site GC - Inuvik",021028,"GC Building - Inuvik","Édifice GC - Inuvik",Crown-owned,"Propriété de l'État",1959,500,"Not designated","Non désigné",WST,Ouest,"187 MacKenzie Road","187, rue MacKenzie",Inuvik,NT,"Northwest Territories","Territoires du Nord-Ouest","X0E 0T0",2023-2024,B651-18,65
P600216-101-60000541,20496,"GC Site - Hay River","Site GC - Hay River",020496,"GC Building - Hay River","Édifice GC - Hay River",Crown-owned,"Propriété de l'État",1966,500,"Not designated","Non désigné",WST,Ouest,"41 Capital Drive","41, promenade Capital","Hay River",NT,"Northwest Territories","Territoires du Nord-Ouest","X0E 1G2",2023-2024,B651-18,61
P600219-101-60000545,20790,"GC Site - Fort Simpson","Site GC - Fort Simpson",020790,"GC Building - Fort Simpson","Édifice GC - Fort Simpson",Crown-owned,"Propriété de l'État",1965,500,"Not designated","Non désigné",WST,Ouest,"9606, 100 Street","9606, rue 100","Fort Simpson",NT,"Northwest Territories","Territoires du Nord-Ouest","X0E 0N0",2023-2024,B651-18,58
P600223-101-60000549,31402,"GC Site - Fort Smith","Site GC - Fort Smith",031402,"GC Building - Fort Smith","Édifice GC - Fort Smith",Crown-owned,"Propriété de l'État",1985,500,"Not designated","Non désigné",WST,Ouest,"149 McDougal Road","149, rue McDougal","Fort Smith",NT,"Northwest Territories","Territoires du Nord-Ouest","X0E 0P0",2023-2024,B651-18,53
P600391-101-60000748,06984,"Greenstone Site","Site Greenstone",006984,"Greenstone Building","Édifice Greenstone",Crown-owned,"Propriété de l'État",1999,500,"Not designated","Non désigné",WST,Ouest,"5101 50 Avenue","5101, avenue 50",Yellowknife,NT,"Northwest Territories","Territoires du Nord-Ouest","X1A 1E1",2022-2023,B651-18,76
P600399-101-60000757,09678,"Alvin Hamilton Site","Site Alvin Hamilton",009678,"Alvin Hamilton Building","Édifice Alvin Hamilton",Crown-owned,"Propriété de l'État",1968,400,Pending,"En attente",WST,Ouest,"1783 Hamilton Street","1783, rue Hamilton",Regina,SK,Saskatchewan,Saskatchewan,"S4P 2B6",2022-2023,B651-18,61
P600401-101-60000760,15659,"RCMP K Division Headquaters Site","Site du quartier général de la Division K de la GRC",015659,"RCMP K Division Headquarters","Quartier général de la Division K de la GRC",Crown-owned,"Propriété de l'État",1998,100,"Not applicable","N'est pas applicable",WST,Ouest,"11140 109 Street Northwest","11140, rue 109 Nord-Ouest",Edmonton,AB,Alberta,Alberta,"T5G 2T4",2022-2023,B651-18,61
P600401-102-60000776,15659,"RCMP K Division Headquaters Site","Site du quartier général de la Division K de la GRC",104340,"RCMP K Division Headquarters (Garage/Carwash)","Quartier général de la Div. K - Garage lave-auto",Crown-owned,"Propriété de l'État",1998,500,"Not designated","Non désigné",WST,Ouest,"11140 109 Street Northwest","11140, rue 109 Nord-Ouest",Edmonton,AB,Alberta,Alberta,"T5G 2T4",2022-2023,B651-18,61
P600402-101-60000762,20778,"Henry Larson Site","Site Henry Larson",020778,"Henry Larson Building","Édifice Henry Larson",Crown-owned,"Propriété de l'État",1970,400,Pending,"En attente",WST,Ouest,"5010 49 Avenue","5010, avenue 49",Yellowknife,NT,"Northwest Territories","Territoires du Nord-Ouest","X1A 2R3",2022-2023,B651-18,69
P600405-101-60000758,12612,"RCMP D Division Police HQ Site","Site du quartier général de la Division D de la GRC",012612,"RCMP D Division Headquarters","Quartier général de la Division D de la GRC",Crown-owned,"Propriété de l'État",1977,500,"Not designated","Non désigné",WST,Ouest,"1091 Portage Avenue","1091, avenue Portage",Winnipeg,MB,Manitoba,Manitoba,"R3G 0S6",2023-2024,B651-18,58
P600405-102-60000763,12612,"RCMP D Division Police HQ Site","Site du quartier général de la Division D de la GRC",104160,"RCMP Duplex 1 Units 1 and 2","Duplex de la GRC # 1, Unités 1 et 2",Crown-owned,"Propriété de l'État",1959,500,"Not designated","Non désigné",WST,Ouest,"734-736 Dominion Street","734-736, rue Dominion",Winnipeg,MB,Manitoba,Manitoba,"R3G 2N4",2023-2024,B651-18,47
P600405-103-60000765,12612,"RCMP D Division Police HQ Site","Site du quartier général de la Division D de la GRC",104162,"RCMP Duplex 2 Units 1 and 2","Duplex de la GRC # 2, Unités 1 et 2",Crown-owned,"Propriété de l'État",1959,500,"Not designated","Non désigné",WST,Ouest,"744-746 Dominion Street","744-746, rue Dominion",Winnipeg,MB,Manitoba,Manitoba,"R3G 2N4",2023-2024,B651-18,60
P600405-104-60000767,12612,"RCMP D Division Police HQ Site","Site du quartier général de la Division D de la GRC",104164,"RCMP Medical Ctr Duplex 3 Units 1 and 2","Centre médical de la GRC Duplex # 3, Unités 1 et 2",Crown-owned,"Propriété de l'État",1959,500,"Not designated","Non désigné",WST,Ouest,"754-756 Dominion Street","754-756, rue Dominion",Winnipeg,MB,Manitoba,Manitoba,"R3G 2N4",2023-2024,B651-18,62
P601187-101-60001980,14177,"GC Site - Saskatoon","Site GC - Saskatoon",014177,"GC Building - Saskatoon","Édifice GC - Saskatoon",Crown-owned,"Propriété de l'État",1930,500,"Not designated","Non désigné",WST,Ouest,"101, 22 Street East","101, rue 22 est",Saskatoon,SK,Saskatchewan,Saskatchewan,"S7K 0E1",2023-2024,B651-18,59
P700008-101-70000315,19714,"GC Site - Smithers","Site GC - Smithers",019714,"GC Building - Fisheries and Oceans","Édifice GC - Pêches et Océans",Crown-owned,"Propriété de l'État",1994,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"3177 Tatlow Road","3177, chemin Tatlow",Smithers,BC,"British Columbia",Colombie-Britannique,"V0J 2N5",2022-2023,B651-18,70
P700009-101-70000318,71867,"GC Site - Prince George","Site GC - Prince George",071867,"GC Building - Federal Office & Warehouse","Édifice GC - Bureaux fédéreaux et entrepôt",Crown-owned,"Propriété de l'État",1970,500,"Not designated","Non désigné",PAC,PAC,"3690 Massey Drive","3690, promenade Massey","Prince George",BC,"British Columbia",Colombie-Britannique,"V2N 2S8",2020-2021,B651-18,87
P700021-101-70000338,16776,"GC Site - Steveston Village (Richmond)","Site GC - Steveston Village (Richmond)",016776,"GC Building - Steveston Village (Richmond)","Édifice GC - Steveston Village (Richmond)",Crown-owned,"Propriété de l'État",1976,500,"Not designated","Non désigné",PAC,PAC,"12551 No. 1 Road","12551, chemin No. 1",Richmond,BC,"British Columbia",Colombie-Britannique,"V7E 1T7",2021-2022,B651-18,74
P700022-101-70000340,16649,"Surrey Taxation Data Centre Site","Site Centre des données fiscales de Surrey",016649,"Surrey Taxation Data Centre","Centre des données fiscales de Surrey",Crown-owned,"Propriété de l'État",1978,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"9755 King George Boulevard","9755, boulevard King George",Surrey,BC,"British Columbia",Colombie-Britannique,"V3T 5E1",2022-2023,B651-18,57
P700025-101-70000344,17566,"GC Site - Nanaimo","Site GC - Nanaimo",017566,"GC Building - Nanaimo","Édifice GC - Nanaimo",Crown-owned,"Propriété de l'État",1954,300,Recognized,Reconnu,PAC,PAC,"60 Front Street","60, rue Front",Nanaimo,BC,"British Columbia",Colombie-Britannique,"V9R 5H7",2021-2022,B651-18,65
P700028-101-70000348,17342,"P.L. James Place Site","Site Place P.L. James",017342,"P. L. James Place","Place P. L. James",Crown-owned,"Propriété de l'État",1952,500,"Not designated","Non désigné",PAC,PAC,"1230 Government Street","1230, rue Government",Victoria,BC,"British Columbia",Colombie-Britannique,"V8W 3M4",2019-2020,B651-18,61
P700029-101-70000349,17343,"GC Site - Victoria","Site GC - Victoria",017343,"GC Building - New Federal Building","Édifice GC - Nouvel édifice fédéral",Crown-owned,"Propriété de l'État",1966,500,"Not designated","Non désigné",PAC,PAC,"1415 Vancouver Street","1415, rue Vancouver",Victoria,BC,"British Columbia",Colombie-Britannique,"V8V 3W4",2021-2022,B651-18,61
P700030-101-70000351,18053,"GC Site - Campbell River","Site GC - Campbell River",018053,"GC Building - Federal Annex","Édifice GC - Annexe fédérale",Crown-owned,"Propriété de l'État",1962,500,"Not designated","Non désigné",PAC,PAC,"940 Alder Street","940, rue Alder","Campbell River",BC,"British Columbia",Colombie-Britannique,"V9W 2P8",2021-2022,B651-18,58
P700034-101-70000361,19933,"Takhini Complex Site","Site Complexe Takhini",103334,"Takhini Building","Édifice Takhini",Crown-owned,"Propriété de l'État",1952,300,Recognized,Reconnu,PAC,PAC,"419 Range Road","419, rue Range",Whitehorse,YT,Yukon,Yukon,"Y1A 3V1",2022-2023,B651-18,54
P700039-101-70000372,19254,"GC Site - Prince Rupert","Site GC - Prince Rupert",019254,"GC Building - Prince Rupert","Édifice GC - Prince Rupert",Crown-owned,"Propriété de l'État",1962,500,"Not designated","Non désigné",PAC,PAC,"417 2nd Avenue West","417, 2e avenue Ouest","Prince Rupert",BC,"British Columbia",Colombie-Britannique,"V8J 1G8",2022-2023,B651-18,70
P700041-101-70000376,19764,"Oxford Site","Site Oxford",019764,"Oxford Building","Édifice Oxford",Crown-owned,"Propriété de l'État",1973,500,"Not designated","Non désigné",PAC,PAC,"280 Victoria Street","280, rue Victoria","Prince George",BC,"British Columbia",Colombie-Britannique,"V2L 4X3",2020-2021,B651-18,77
P700042-101-70000377,18601,"GC Site - Kamloops","Site GC - Kamloops",018601,"GC Building - Kamloops","Édifice GC - Kamloops",Crown-owned,"Propriété de l'État",1965,300,Recognized,Reconnu,PAC,PAC,"317 Seymour Street","317, rue Seymour",Kamloops,BC,"British Columbia",Colombie-Britannique,"V2C 2E8",2021-2022,B651-18,67
P700043-101-70000379,18638,"GC Site - Kelowna","Site GC - Kelowna",018638,"GC Building - Kelowna","Édifice GC - Kelowna",Crown-owned,"Propriété de l'État",1971,400,Pending,"En attente",PAC,PAC,"471 Queensway Avenue","471, avenue Queensway",Kelowna,BC,"British Columbia",Colombie-Britannique,"V1Y 6S5",2022-2023,B651-18,59
P700050-101-70000389,16379,"GC Site - Penticton","Site GC - Penticton",016379,"GC Building - Penticton","Édifice GC - Penticton",Crown-owned,"Propriété de l'État",1961,500,"Not designated","Non désigné",PAC,PAC,"277 Winnipeg Street","277, rue Winnipeg",Penticton,BC,"British Columbia",Colombie-Britannique,"V2A 1N6",2022-2023,B651-18,81
P700051-101-70000391,18738,"GC Site - Revelstoke","Site GC - Revelstoke",018738,"GC Building - Revelstoke","Édifice GC - Revelstoke",Crown-owned,"Propriété de l'État",1971,500,"Not designated","Non désigné",PAC,PAC,"307 3rd Street West","307, 3e rue Ouest",Revelstoke,BC,"British Columbia",Colombie-Britannique,"V0E 2S0",2020-2021,B651-18,85
P700055-101-70000398,16880,"GC Site - Sinclair Centre","Site GC - Centre Sinclair",104348,"Sinclair Centre - Post Office/Winch","Centre Sinclair - Bureau de poste/Winch",Crown-owned,"Propriété de l'État",1913,200,Classified,Classé,PAC,PAC,"757 Hastings Street West","757, rue Hastings Ouest",Vancouver,BC,"British Columbia",Colombie-Britannique,"V6C 1A1",2023-2024,B651-18,58
P700055-101-70000399,16880,"GC Site - Sinclair Centre","Site GC - Centre Sinclair",104349,"Sinclair Centre - Federal Building","Centre Sinclair - Édifice fédéral",Crown-owned,"Propriété de l'État",1905,500,"Not designated","Non désigné",PAC,PAC,"757 Hastings Street West","757, rue Hastings Ouest",Vancouver,BC,"British Columbia",Colombie-Britannique,"V6C 1A1",2023-2024,B651-18,56
P700055-101-70000400,16880,"GC Site - Sinclair Centre","Site GC - Centre Sinclair",016880,"Sinclair Centre - Customs Examining Warehouse","Centre Sinclair - Entrepôt de vérification des douanes",Crown-owned,"Propriété de l'État",1986,300,Recognized,Reconnu,PAC,PAC,"757 Hastings Street West","757, rue Hastings Ouest",Vancouver,BC,"British Columbia",Colombie-Britannique,"V6C 1A1",2023-2024,B651-18,59
P700055-101-70000401,16880,"GC Site - Sinclair Centre","Site GC - Centre Sinclair",104350,"Sinclair Centre - Retail","Centre Sinclair - Commerces de détail",Crown-owned,"Propriété de l'État",1936,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"757 Hastings Street West","757, rue Hastings Ouest",Vancouver,BC,"British Columbia",Colombie-Britannique,"V6C 1A1",2023-2024,B651-18,54
P700063-101-70000410,19934,"Elijah Smith Site","Site Elijah Smith",019934,"Elijah Smith Building","Édifice Elijah Smith",Crown-owned,"Propriété de l'État",1989,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"300 Main Street","300, rue Main",Whitehorse,YT,Yukon,Yukon,"Y1A 2B5",2019-2020,B651-18,56
P700069-101-70000422,53010,"GC Site - Queen Charlotte City","Site GC - Queen Charlotte City",053010,"GC Building - Queen Charlotte City","Édifice GC - Queen Charlotte City",Crown-owned,"Propriété de l'État",1989,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"137 Bay Street","137, rue Bay","Queen Charlotte City",BC,"British Columbia",Colombie-Britannique,"V0T 1S0",2023-2024,B651-18,79
P700076-101-70000435,16649,"Surrey Taxation Data Centre Site","Site Centre des données fiscales de Surrey",104345,"Burnaby-Fraser Tax Services Office Building","Édifice à bureaux des services fiscaux de Burnaby-Fraser",Crown-owned,"Propriété de l'État",1998,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"9737 King George Boulevard","9737, boulevard King George",Surrey,BC,"British Columbia",Colombie-Britannique,"V3T 5E1",2022-2023,B651-18,61
P700077-101-70000306,28741,"GC Site - Annacis Marine Base","Site GC - Base de la marine de l'ile Annacis",028741,"GC Building - Annacis Marine Base","Édifice GC - Base de la marine de l'ile Annacis",Crown-owned,"Propriété de l'État",1998,500,"Not designated","Non désigné",PAC,PAC,"100 Annacis Parkway","100, promenade Annacis",Delta,BC,"British Columbia",Colombie-Britannique,"V3M 6A2",2022-2023,B651-18,76
P700077-102-70000437,28741,"GC Site - Annacis Marine Base","Site GC - Base de la marine de l'ile Annacis",103427,"GC Building - Annacis Island Office","Édifice GC - Bureau de l'île Annacis",Crown-owned,"Propriété de l'État",1982,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"100 Annacis Parkway","100, promenade Annacis",Delta,BC,"British Columbia",Colombie-Britannique,"V3M 6A2",2022-2023,B651-18,81
P700119-101-70001679,12389,"GC Site - Surrey","Site GC - Surrey",012389,"GC Building - Green Timbers Building 'A' - Administration","Édifice GC - Green Timbers Bâtiment 'A' - Administration",Crown-owned,"Propriété de l'État",2012,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"14200 Green Timbers Way","14200, chemin Green Timbers",Surrey,BC,"British Columbia",Colombie-Britannique,"V3T 6P3",2020-2021,B651-18,82
P700119-102-70001680,12389,"GC Site - Surrey","Site GC - Surrey",151535,"Green Timbers Building 'B' - Services and Support","Green Timbers (Bâtiment 'B' - Services et support)",Crown-owned,"Propriété de l'État",2012,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"14200 Green Timbers Way","14200, chemin Green Timbers",Surrey,BC,"British Columbia",Colombie-Britannique,"V3T 6P3",2020-2021,B651-18,90
P700119-103-70001681,12389,"GC Site - Surrey","Site GC - Surrey",151542,"Green Timbers Building 'C' - Warehouse","Green Timbers (Bâtiment 'C' - Entrepôt)",Crown-owned,"Propriété de l'État",2012,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"14200 Green Timbers Way","14200, chemin Green Timbers",Surrey,BC,"British Columbia",Colombie-Britannique,"V3T 6P3",2020-2021,B651-18,90
P700119-104-70001682,12389,"GC Site - Surrey","Site GC - Surrey",151543,"Green Timbers Building 'E' - Gatehouse","Green Timbers (Bâtiment 'E' - Guérite)",Crown-owned,"Propriété de l'État",2012,600,"Not yet evaluated","Pas encore évalué",PAC,PAC,"14200 Green Timbers Way","14200, chemin Green Timbers",Surrey,BC,"British Columbia",Colombie-Britannique,"V3T 6P3",2023-2024,B651-18,94
