AO-ID_ID-OA,DFRP-property-nbr_No-bien-RBIF,Property-name_Nom-du-bien_eng,Property-name_Nom-du-bien_fra,DFRP-structure-nbr_No-structure-RBIF,Structure-name_Nom-du-structure_eng,Structure-name_Nom-du-structure_fra,Interest-type_Type-de-propriete_eng,Interest-type_Type-de-propriete_fra,Year-built_Annee-de-construction,Heritage-code_Code-du-patrimoine,Heritage-designation_Designation-patrimoniale_eng,Heritage-designation_Designation-patrimoniale_fra,Region_eng,Region_fra,Structure-address_Adresse-du-structure_eng,Structure-address_Adresse-du-structure_fra,City_Ville,Province-code_Code-de-province,Province-territory_Province-territoire_eng,Province-territory_Province-territoire_fra,Postal-code_Code-postal,Assessment-fscl-yr_Ex-evaluation,Compliance-standard-applied_Norme-de-conformite-appliquee,Accessibility-score_Score-accessibilite
P400008-101-40000315,09031,"LaSalle Academy Site","Site Académie de LaSalle",009031,"LaSalle Academy","Académie de LaSalle",Crown-owned,"Propriété de l'État",1852,200,Classified,Classé,NCA,RCN,"373 Sussex Drive","373, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 6Z2",2019-2020,B651-18,63
P400010-101-40000319,09004,"Connaught Site","Site Connaught",009004,"Connaught Building","Édifice Connaught",Crown-owned,"Propriété de l'État",1914,200,Classified,Classé,NCA,RCN,"555 MacKenzie Avenue","555, avenue MacKenzie",Ottawa,ON,Ontario,Ontario,"K1A 0L5",2019-2020,B651-18,73
P400011-101-40000321,24781,"GC Site - Ottawa","Site GC - Ottawa",024781,"GC Building - 350 King Edward Avenue","Édifice GC - 350, avenue King Edward",Crown-owned,"Propriété de l'État",1942,500,"Not designated","Non désigné",NCA,RCN,"350 King Edward Avenue","350, avenue King Edward",Ottawa,ON,Ontario,Ontario,"K1A 0X1",2019-2020,B651-18,60
P400012-101-40000323,09026,"Major-General G. R. Pearkes Site","Site Major-général G.R. Pearkes",009026,"Major-General G. R. Pearkes Building","Édifice Major-Général G. R. Pearkes",Crown-owned,"Propriété de l'État",1972,300,Recognized,Reconnu,NCA,RCN,"101 Colonel By Drive","101, promenade Colonel By",Ottawa,ON,Ontario,Ontario,"K1A 0K2",2021-2022,B651-18,49
P400018-101-40000330,08996,"Exhibition Commission Site - Warehouse and Office","Site Commission des expositions - entrepôt et bureau",008996,"GC Building - Exhibition Commission Office","Édifice GC - Commission des expositions - Bureaux",Crown-owned,"Propriété de l'État",1967,400,Pending,"En attente",NCA,RCN,"440 Coventry Road","440, chemin Coventry",Ottawa,ON,Ontario,Ontario,"K1K 2C4",2019-2020,B651-18,75
P400206-101-40000523,32595,"Uniform # 2 Site","Site Uniform # 2",032595,"Uniform #2 Building","Immeuble Uniform #2",Crown-owned,"Propriété de l'État",1975,500,"Not designated","Non désigné",NCA,RCN,"79 Bentley Avenue","79, avenue Bentley",Ottawa,ON,Ontario,Ontario,"K2E 6T7",2021-2022,B651-18,42
P400221-101-40000543,07614,"Place du Portage I & Portage II Site","Site Place du Portage I et Portage II",007614,"Place du Portage I and Portage I & II (commercial)","Place du Portage I et Portage I & II (commercial)",Crown-owned,"Propriété de l'État",1973,200,Classified,Classé,NCA,RCN,"50 Victoria Street","50, rue Victoria",Gatineau,QC,Quebec,Québec,"J8X 3X1",2021-2022,B651-18,42
P400221-101-40000546,07614,"Place du Portage I & Portage II Site","Site Place du Portage I et Portage II",103708,"Place du Portage - Phase II","Place du Portage - Phase II",Crown-owned,"Propriété de l'État",1976,200,Classified,Classé,NCA,RCN,"165 De l'Hôtel-de-Ville Street","165, rue de l'Hôtel-de-Ville",Gatineau,QC,Quebec,Québec,"J8X 3X2",2021-2022,B651-18,42
P400221-101-40000547,07614,"Place du Portage I & Portage II Site","Site Place du Portage I et Portage II",007614,"Place du Portage I and Portage I & II (commercial)","Place du Portage I et Portage I & II (commercial)",Crown-owned,"Propriété de l'État",1973,200,Classified,Classé,NCA,RCN,"50 Victoria Street","50, rue Victoria",Gatineau,QC,Quebec,Québec,"J8X 3X1",2021-2022,B651-18,42
P400221-101-40000842,07614,"Place du Portage I & Portage II Site","Site Place du Portage I et Portage II",103708,"Portage II and Portage I & II (Basement)","Portage II et Portage I et II (sous-sol)",Crown-owned,"Propriété de l'État",1973,200,Classified,Classé,NCA,RCN,"165 De l'Hôtel-de-Ville Street","165, rue de l'Hôtel-de-Ville",Gatineau,QC,Quebec,Québec,"J8X 3X1",2021-2022,B651-18,42
P400227-102-40001106,07638,"Place du Portage III & IV, Laurier Garage Site","Site Place du Portage III et IV, Garage Laurier",103718,"Place du Portage IV","Place du Portage IV",Crown-owned,"Propriété de l'État",1979,300,Recognized,Reconnu,NCA,RCN,"140 promenade du Portage","140, promenade du Portage",Gatineau,QC,Quebec,Québec,"K1A 0M3",2021-2022,B651-18,55
P400232-101-40000553,08834,"Parliament Hill West Site","Site Colline du Parlement Ouest",008834,"East Block","Édifice de l'Est",Crown-owned,"Propriété de l'État",1859,200,Classified,Classé,SPIB,DGSIP,"111 Wellington Street","111, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0A9",2020-2021,B651-18,75
P400232-104-40000556,08834,"Parliament Hill West Site","Site Colline du Parlement Ouest",103833,"West Block","Édifice de l'Ouest",Crown-owned,"Propriété de l'État",1859,200,Classified,Classé,SPIB,DGSIP,"111 Wellington Street","111, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0A9",2020-2021,B651-18,83
P400232-108-80000832,08834,"Parliament Hill West Site","Site Colline du Parlement Ouest",153562,"Visitor Welcome Centre","Centre des visiteurs",Crown-owned,"Propriété de l'État",2018,100,"Not applicable","N'est pas applicable",SPIB,DGSIP,"111 Wellington Street","111, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0A9",2020-2021,B651-18,82
P400236-101-40000560,08833,"Office of the Prime Minister and Privy Council Site (Block 1)","Site Bureau du Premier ministre et du Conseil privé (Bloc 1)",008833,"Office of the Prime Minister and Privy Council","Bureau du Premier ministre et du Conseil privé",Crown-owned,"Propriété de l'État",1883,300,Recognized,Reconnu,SPIB,DGSIP,"80 Wellington Street","80, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1P 6C2",2020-2021,B651-18,81
P400237-102-40001110,08831,"National Press Block Site (Block 3)","Site Bloc de la Presse nationale (Bloc 3)",103813,"Wellington Building","Édifice Wellington",Crown-owned,"Propriété de l'État",1938,300,Recognized,Reconnu,SPIB,DGSIP,"180 Wellington Street","180, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1P 6C2",2020-2021,B651-18,82
P400237-105-40001149,08831,"National Press Block Site (Block 3)","Site Bloc de la Presse nationale (Bloc 3)",103817,"Sir John A. Macdonald Building","Édifice Sir John A. Macdonald",Crown-owned,"Propriété de l'État",1930,200,Classified,Classé,SPIB,DGSIP,"144 Wellington Street","144, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1P 5T3",2020-2021,B651-18,83
P400240-101-40000566,09412,"Rideau Canal National Historic Site of Canada","Lieu Historique National du Canada du Canal-Rideau",054533,"Senate of Canada Building","Édifice du Sénat du Canada",Crown-owned,"Propriété de l'État",1912,200,Classified,Classé,SPIB,DGSIP,"2 Rideau Street","2, rue Rideau",Ottawa,ON,Ontario,Ontario,"K1N 8X5",2021-2022,B651-18,85
P400242-101-40000794,09020,"Lester B. Pearson Site","Site Lester B. Pearson",009020,"Lester B. Pearson Building","Édifice Lester B. Pearson",Crown-owned,"Propriété de l'État",1972,200,Classified,Classé,NCA,RCN,"125 Sussex Drive","125, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1A 0G2",2021-2022,B651-18,78
P400281-101-40003082,08807,"James Michael Flaherty Site","Site James Michael Flaherty",007163,"James Michael Flaherty Building","Édifice James Michael Flaherty","Lease purchase","Bail achat",2014,100,"Not applicable","N'est pas applicable",NCA,RCN,"90 Elgin Street","90, rue Elgin",Ottawa,ON,Ontario,Ontario,"K1P 5B8",2022-2023,B651-18,84
P400309-101-40000642,07605,"National Printing Bureau Site","Site Imprimerie nationale du Canada",007605,"National Printing Bureau","Imprimerie nationale du Canada",Crown-owned,"Propriété de l'État",1954,200,Classified,Classé,NCA,RCN,"45 Sacré-Coeur Boulevard","45, boulevard Sacré-Coeur",Gatineau,QC,Quebec,Québec,"J8X 1C6",2019-2020,B651-18,75
P400310-101-40000645,07611,"Canadian Foreign Service Institute (Bisson Centre) Site","Site Institut canadien du service extérieur (Centre Bisson)",007611,"Canadian Foreign Service Institute (Bisson Centre)","Institut canadien du service extérieur (Centre Bisson)",Crown-owned,"Propriété de l'État",1957,300,Recognized,Reconnu,NCA,RCN,"115 Bisson Street","115, rue Bisson",Gatineau,QC,Quebec,Québec,"J8Y 5M2",2019-2020,B651-18,79
P400373-105-40000876,17931,"Ottawa Macdonald-Cartier Intern. Airport Site","Site Aéroport international Macdonald-Cartier d'Ottawa",,"Macdonald-Cartier Data Centre","Centre de données Macdonald-Cartier",Crown-owned,"Propriété de l'État",1989,100,"Not applicable","N'est pas applicable",NCA,RCN,"1600 Tom Roberts Road","1600, chemin Tom Roberts",Ottawa,ON,Ontario,Ontario,"K1V 1E6",2022-2023,B651-18,78
P400452-101-40000796,07253,"St. Andrew's Tower Site","Site de la Tour Andrew",007253,"St. Andrew's Tower","Tour St. Andrew's",Crown-owned,"Propriété de l'État",1987,600,"Not yet evaluated","Pas encore évalué",NCA,RCN,"275 Sparks Street","275, rue Sparks",Ottawa,ON,Ontario,Ontario,"K1R 7X9",2021-2022,B651-18,69
P400491-101-40000837,07251,"Qimugjuk Site","Site Qimugjuk",007251,"Qimugjuk Building","Édifice Qimugjuk",Crown-owned,"Propriété de l'État",1998,500,"Not designated","Non désigné",WST,Ouest,"969 Federal Road","969, rue Federal",Iqaluit,NU,Nunavut,Nunavut,"X0A 0H0",2023-2024,B651-18,60
P400601-101-40000956,08835,"Supreme Court and National Library and Archives Canada Site","Site Cour Suprême et Bibliothèque nationale et Archives Canada",008835,"National Library and Archives Canada Building","Édifice de Bibliothèque et Archives Canada",Crown-owned,"Propriété de l'État",1965,200,Classified,Classé,NCA,RCN,"395 Wellington Street","395, rue Wellington",Ottawa,ON,Ontario,Ontario,"K1A 0N3",2019-2020,B651-18,71
P400604-101-40000933,08649,"Sir Leonard Tilley Site","Site Sir-Leonard-Tilley",008649,"Sir Leonard Tilley Annex","Annexe - Sir-Leonard-Tilley",Crown-owned,"Propriété de l'État",1961,100,"Not applicable","N'est pas applicable",NCA,RCN,"719 Heron Road","719 chemin Heron",Ottawa,ON,Ontario,Ontario,"K1G 3Z4",2022-2023,B651-18,80
P401360-101-40002366,15712,"M.J. Nadon Site","Site  M.J. Nadon",015712,"M.J. Nadon Building","Édifice M.J. Nadon","Lease purchase","Bail achat",2000,100,"Not applicable","N'est pas applicable",NCA,RCN,"73 Leikin Drive","73, promenade Leikin",Ottawa,ON,Ontario,Ontario,"K1A 0R2",2022-2023,B651-18,79
P401362-102-40003190,07608,"Les Terrasses de la Chaudière Site","Site Les Terrasses de la Chaudière",023549,"Les Terrasses de la Chaudière - Central Building","Les Terrasses de la Chaudière - Édifice Central",Crown-owned,"Propriété de l'État",1975,500,"Not designated","Non désigné",NCA,RCN,"1 Promenade du Portage","1, promenade du Portage",Gatineau,QC,Quebec,Québec,"K1A 0N2",2019-2020,B651-18,84
P401364-101-40003130,06484,"C.D. Howe Site","Site C.D. Howe",006484,"C.D. Howe Building","Édifice C.D. Howe",Crown-owned,"Propriété de l'État",1977,300,Recognized,Reconnu,NCA,RCN,"240 Sparks Street and 235 Queen Street","240, rue Sparks et 235, rue Queen",Ottawa,ON,Ontario,Ontario,"K1A 0H5",2021-2022,B651-18,48
P401376-101-40002140,07632,"Place du Centre Site","Site Place du Centre",007632,"Place du Centre","Place du Centre",Crown-owned,"Propriété de l'État",1977,100,"Not applicable","N'est pas applicable",NCA,RCN,"200 Promenade du Portage","200, promenade du Portage",Gatineau,QC,Quebec,Québec,"J8X 4B7",2020-2021,B651-18,83
P401378-101-40000858,54977,"John G. Diefenbaker Site","Site John G. Diefenbaker",054977,"John G. Diefenbaker Building","Édifice John G. Diefenbaker",Crown-owned,"Propriété de l'État",1993,200,Classified,Classé,NCA,RCN,"111 Sussex Drive","111, promenade Sussex",Ottawa,ON,Ontario,Ontario,"K1N 5A1",2021-2022,B651-18,63
P401724-101-40003031,22180,"22 Eddy Street Site","Site 22, rue Eddy",022180,"22 Eddy Street","22, rue Eddy","Lease purchase","Bail achat",2013,100,"Not applicable","N'est pas applicable",NCA,RCN,"22 Eddy Street","22, rue Eddy",Gatineau,QC,Quebec,Québec,"J8X 2V6",2021-2022,B651-18,71
P401725-101-40003032,22179,"30 Victoria Street Site","Site 30, rue Victoria",022179,"30 Victoria Street","30, rue Victoria","Lease purchase","Bail achat",2013,100,"Not applicable","N'est pas applicable",NCA,RCN,"30 Victoria Street","30, rue Victoria",Gatineau,QC,Quebec,Québec,"J8X 4H7",2022-2023,B651-18,73
P401726-101-40003033,07075,"455 de la Carrière Blvd Site","Site 455, blvd de la Carrière",007075,"455 De la Carrière Boulevard","455, boulevard de la Carrière","Lease purchase","Bail achat",2012,100,"Not applicable","N'est pas applicable",NCA,RCN,"455 de la Carrière Boulevard","455, boulevard de la Carrière",Gatineau,QC,Quebec,Québec,"J8Y 6V7",2023-2024,B651-18,93
P401731-102-40003049,20622,"Carling Campus Site","Site Campus Carling",000611,"Carling Campus - Building No. 2","Campus Carling - Immeuble No. 2",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-103-40003050,20622,"Carling Campus Site","Site Campus Carling",000635,"Carling Campus - Building No. 3","Campus Carling - Immeuble No. 3",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-105-40003052,20622,"Carling Campus Site","Site Campus Carling",001704,"Carling Campus - Building No. 5","Campus Carling - Immeuble No. 5",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-106-40003053,01071,"Bell Northern Research","Recherche de Bell Northern",020771,"Carling Campus - Building No. 6","Campus Carling - Immeuble No. 6",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-106-40003054,01071,"Bell Northern Research","Recherche de Bell Northern",020771,"Carling Campus - Building No. 7","Campus Carling - Immeuble No. 7",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-108-40003055,01071,"Bell Northern Research","Recherche de Bell Northern",020772,"Carling Campus - Building No. 8","Campus Carling - Immeuble No. 8",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-108-40003056,01071,"Bell Northern Research","Recherche de Bell Northern",020772,"Carling Campus - Building No. 9","Campus Carling - Immeuble No. 9",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-110-40003057,20622,"Carling Campus Site","Site Campus Carling",003020,"Carling Campus - Building No. 10 - East","Campus Carling - Immeuble No. 10 - Est",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-111-40003058,20622,"Carling Campus Site","Site Campus Carling",020622,"Carling Campus - Services","Campus Carling - Services",Crown-owned,"Propriété de l'État",1996,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-112-40003059,20622,"Carling Campus Site","Site Campus Carling",001813,"Carling Campus - Pavilion","Campus Carling - Pavillon",Crown-owned,"Propriété de l'État",2017,400,Pending,"En attente",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-113-40003072,20622,"Carling Campus Site","Site Campus Carling",002983,"Carling Campus - Building No. 10 - West","Campus Carling - Immeuble No. 10 - Ouest",Crown-owned,"Propriété de l'État",2017,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-115-40003112,01071,"Bell Northern Research","Recherche de Bell Northern",152514,"Carling Campus - Ottawa-Carleton Wildlife Centre","Campus Carling - Wildlife Centre d'Ottawa-Carleton",Crown-owned,"Propriété de l'État",2017,100,"Not applicable","N'est pas applicable",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-120-80000845,20622,"Carling Campus Site","Site Campus Carling",152506,"Carling Campus - Guardhouse #2","Campus Carling - Poste de garde #2",Crown-owned,"Propriété de l'État",2017,500,"Not designated","Non désigné",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P401731-121-80000846,20622,"Carling Campus Site","Site Campus Carling",152507,"Carling Campus - Guardhouse #1","Campus Carling - Poste de garde #1",Crown-owned,"Propriété de l'État",1996,500,"Not designated","Non désigné",NCA,RCN,"3500 Carling Avenue","3500, avenue Carling",Ottawa,ON,Ontario,Ontario,"K2H 8E9",2022-2023,B651-18,80
P500025-101-50000332,10729,"GC Site - Windsor","Site GC - Windsor",010729,"GC Building - Windsor","Édifice GC - Windsor",Crown-owned,"Propriété de l'État",1953,500,"Not designated","Non désigné",ON,ON,"441 University Avenue West","441, avenue University Ouest",Windsor,ON,Ontario,Ontario,"N9A 4Z1",2022-2023,B651-18,66
P500027-101-50000336,10816,"GC Site - Sarnia","Site GC - Sarnia",010816,"GC Building - Sarnia","Édifice GC - Sarnia",Crown-owned,"Propriété de l'État",1960,300,Recognized,Reconnu,ON,ON,"105 Christina Street South","105, rue Christina Sud",Sarnia,ON,Ontario,Ontario,"N7T 2M7",2022-2023,B651-18,77
P500028-101-50000338,10899,"Richard Pierpoint Site","Site Richard-Pierpoint",010899,"Richard Pierpoint Building","Édifice Richard-Pierpoint",Crown-owned,"Propriété de l'État",1976,400,Pending,"En attente",ON,ON,"451 Talbot Street","451, rue Talbot",London,ON,Ontario,Ontario,"N6A 5C9",2023-2024,B651-18,82
P500029-101-50000339,10889,"Dominion Public Building Site","Site Édifice public Dominion",010889,"Dominion Public Building","Édifice public Dominion",Crown-owned,"Propriété de l'État",1936,200,Classified,Classé,ON,ON,"457 Richmond Street","457, rue Richmond",London,ON,Ontario,Ontario,"N6A 3E0",2023-2024,B651-18,71
P500030-101-50000341,10888,"Lipton Site","Site Lipton",010888,"Lipton Building","Édifice Lipton",Crown-owned,"Propriété de l'État",1956,500,"Not designated","Non désigné",ON,ON,"120 Queens Avenue","120, avenue Queens",London,ON,Ontario,Ontario,"N6A 1H8",2023-2024,B651-18,73
P500034-101-50000348,10414,"Laura Secord Site","Site Laura-Secord",010414,"Laura Secord Building","Édifice Laura-Secord",Crown-owned,"Propriété de l'État",1956,300,Recognized,Reconnu,ON,ON,"32-46 Church Street","32-46, rue Church","St. Catharines",ON,Ontario,Ontario,"L2R 3B6",2020-2021,B651-18,66
P500035-101-50000350,10518,"John Norton Site","Site John-Norton",010518,"John Norton Building","Édifice John-Norton",Crown-owned,"Propriété de l'État",1937,300,Recognized,Reconnu,ON,ON,"15-29 Duke Street East","15-29, rue Duke Est",Kitchener,ON,Ontario,Ontario,"N2H 1A0",2023-2024,B651-18,80
