Fiscal-year_Exercice-financier,AO_ID,DFRP-property-No_No-bien-immobilier-RBIF,DFRP-structure-No_No-structure-RBIF,Property-name_Nom-du-bien-ENG,Property-name_Nom-du-bien-FRA,Structure-name_Nom-du-structure-ENG,Structure-name_Nom-du-structure-FRA,Structure-address_Adresse-du-structure-ENG,Structure-address_Adresse-du-structure-FRA,City-Ville,Province-Code_Code-de-province,Province-territory_Province-territoire-ENG,Province-territory_Province-territoire-FRA,Postal-code_Code-postal,Structure-condition_condition-de-la-structure-ENG,Structure-condition_condition-de-la-structure-FRA,Property-condition_condition-du-bien-ENG,Property-condition_condition-du-bien-FRA,Heritage-designation-type_Type-de-désignation,Heritage-designation_Désignation-ENG,Heritage-designation_Désignation-FRA,Interest-Type_Type-de-propriété-ENG,Interest-Type_Type-de-propriété-FRA
2019-2020,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200018-101-20000336,03710,103056,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney","196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200018-101-20000336,03710,103056,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney","196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200018-101-20000336,03710,103056,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney","196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200018-101-20000336,03710,103056,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney","196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200018-101-20000336,03710,103056,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney","196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200019-101-20000337,03710,103057,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney","210 George Street","210 rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200019-101-20000337,03710,103057,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney","210 George Street","210 rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200019-101-20000337,03710,103057,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney","210 George Street","210 rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200019-101-20000337,03710,103057,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney","210 George Street","210 rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200019-101-20000337,03710,103057,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney","210 George Street","210 rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200021-101-20000340,03207,003207,"Enos Collins Site","Site Enos-Collins","Enos Collins Building","Édifice Enos-Collins","38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2020-2021,P200021-101-20000340,03207,003207,"Enos Collins Site","Site Enos-Collins","Enos Collins Building","Édifice Enos-Collins","38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2021-2022,P200021-101-20000340,03207,003207,"Enos Collins Site","Site Enos-Collins","Enos Collins Building","Édifice Enos-Collins","38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2022-2023,P200021-101-20000340,03207,003207,"Enos Collins Site","Site Enos-Collins","Enos Collins Building","Édifice Enos Collins","38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2023-2024,P200021-101-20000340,03207,003207,"Enos Collins Site","Site Enos-Collins","Enos Collins Building","Édifice Enos Collins","38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2019-2020,P200027-101-20000353,02425,002425,"GC Site - Yarmouth","Site GC - Yarmouth","GC Building - Yarmouth","Édifice GC - Yarmouth","15 Willow Street","15, rue Willow",Yarmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B5A 1T0",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P200027-101-20000353,02425,002425,"GC Site - Yarmouth","Site GC - Yarmouth","GC Building - Yarmouth","Édifice GC - Yarmouth","15 Willow Street","15, rue Willow",Yarmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B5A 1T0",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P200027-101-20000353,02425,002425,"GC Site - Yarmouth","Site GC - Yarmouth","GC Building - Yarmouth","Édifice GC - Yarmouth","15 Willow Street","15, rue Willow",Yarmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B5A 1T0",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P200027-101-20000353,02425,002425,"GC Site - Yarmouth","Site GC - Yarmouth","GC Building - Yarmouth","Édifice GC - Yarmouth","15 Willow Street","15, rue Willow",Yarmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B5A 1T0",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200028-101-20000355,10882,010882,"GC Site - Burgeo","GC Site - Burgeo","GC Building - Burgeo","GC Building - Burgeo","1 Main Street","1, rue Main",Yarmouth,NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A0M 1A0",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200030-101-20000358,00373,000373,"GC Site - Pleasantville","Site GC - Pleasantville","GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223","99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200030-101-20000358,00373,000373,"GC Site - Pleasantville","Site GC - Pleasantville","GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223","99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200030-101-20000358,00373,000373,"GC Site - Pleasantville","Site GC - Pleasantville","GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223","99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200030-101-20000358,00373,000373,"GC Site - Pleasantville","Site GC - Pleasantville","GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223","99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200030-101-20000358,00373,000373,"GC Site - Pleasantville","Site GC - Pleasantville","GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223","99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200044-101-20000372,22403,022403,"GC Site - St John's","Site GC - St. John's","GC Building - Tax Centre","Édifice GC - Centre fiscal","290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",Good,Bonne,Good,Bonne,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2020-2021,P200044-101-20000372,22403,022403,"GC Site - St John's","Site GC - St. John's","GC Building - Tax Centre","Édifice GC - Centre fiscal","290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2021-2022,P200044-101-20000372,22403,022403,"GC Site - St John's","Site GC - St. John's","GC Building - Tax Centre","Édifice GC - Centre fiscal","290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2022-2023,P200044-101-20000372,22403,022403,"GC Site - St John's","Site GC - St. John's","GC Building - Tax Centre","Édifice GC - Centre fiscal","290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2023-2024,P200044-101-20000372,22403,022403,"GC Site - St John's","Site GC - St. John's","GC Building - Tax Centre","Édifice GC - Centre fiscal","290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2019-2020,P200052-101-20000382,00371,000371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert","Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert","165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",Critical,Critique,Critical,Critique,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2020-2021,P200052-101-20000382,00371,000371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert","Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert","165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2021-2022,P200052-101-20000382,00371,000371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert","Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert","165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",Poor,"Piètre qualité",Poor,"Piètre qualité",400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2022-2023,P200052-101-20000382,00371,000371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert","Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert","165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",Fair,Passable,Fair,Passable,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2023-2024,P200052-101-20000382,00371,000371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert","Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert","165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",Fair,Passable,Fair,Passable,400,Pending,"En attente",Crown-owned,"Propriété de l'État"
2019-2020,P200097-101-20000431,04732,004732,"GC Site - Florenceville","Site GC - Florenceville","GC Building - Florenceville","Édifice GC - Florenceville","273-275 Main Street","273-275, rue Main",Florenceville,NB,"New Brunswick",Nouveau-Brunswick,"E7L 3G3",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P200097-101-20000431,04732,004732,"GC Site - Florenceville","Site GC - Florenceville","GC Building - Florenceville","Édifice GC - Florenceville","273-275 Main Street","273-275, rue Main",Florenceville,NB,"New Brunswick",Nouveau-Brunswick,"E7L 3G3",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P200097-101-20000431,04732,004732,"GC Site - Florenceville","Site GC - Florenceville","GC Building - Florenceville","Édifice GC - Florenceville","273-275 Main Street","273-275, rue Main",Florenceville,NB,"New Brunswick",Nouveau-Brunswick,"E7L 3G3",Unknown,Inconnue,Unknown,Inconnue,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P200097-101-20000431,04732,004732,"GC Site - Florenceville","Site GC - Florenceville","GC Building - Florenceville","Édifice GC - Florenceville","273-275 Main Street","273-275, rue Main",Florenceville,NB,"New Brunswick",Nouveau-Brunswick,"E7L 3G3",Good,Bonne,Good,Bonne,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P200097-101-20000431,04732,004732,"GC Site - Florenceville","Site GC - Florenceville","GC Building - Florenceville","Édifice GC - Florenceville","273-275 Main Street","273-275, rue Main",Florenceville,NB,"New Brunswick",Nouveau-Brunswick,"E7L 3G3",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200099-101-20000436,04782,004782,"GC Site - Edmundston","Site GC - Edmundston","GC Building - Edmundston","Édifice GC - Edmundston","22 Emmerson Street","22, rue Emmerson",Edmundston,NB,"New Brunswick",Nouveau-Brunswick,"E3V 1R7",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200099-101-20000436,04782,004782,"GC Site - Edmundston","Site GC - Edmundston","GC Building - Edmundston","Édifice GC - Edmundston","22 Emmerson Street","22, rue Emmerson",Edmundston,NB,"New Brunswick",Nouveau-Brunswick,"E3V 1R7",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200099-101-20000436,04782,004782,"GC Site - Edmundston","Site GC - Edmundston","GC Building - Edmundston","Édifice GC - Edmundston","22 Emmerson Street","22, rue Emmerson",Edmundston,NB,"New Brunswick",Nouveau-Brunswick,"E3V 1R8",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200099-101-20000436,04782,004782,"GC Site - Edmundston","Site GC - Edmundston","GC Building - Edmundston","Édifice GC - Edmundston","22 Emmerson Street","22, rue Emmerson",Edmundston,NB,"New Brunswick",Nouveau-Brunswick,"E3V 1R8",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200099-101-20000436,04782,004782,"GC Site - Edmundston","Site GC - Edmundston","GC Building - Edmundston","Édifice GC - Edmundston","22 Emmerson Street","22, rue Emmerson",Edmundston,NB,"New Brunswick",Nouveau-Brunswick,"E3V 1R8",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200101-101-20000439,55935,055935,"GC Site - Fredericton","Site GC - Fredericton","GC Building - Fredericton","Édifice GC - Fredericton","633 Queen Street","633, rue Queen",Fredericton,NB,"New Brunswick",Nouveau-Brunswick,"E3B 1C3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200101-101-20000439,55935,055935,"GC Site - Fredericton","Site GC - Fredericton","GC Building - Fredericton","Édifice GC - Fredericton","633 Queen Street","633, rue Queen",Fredericton,NB,"New Brunswick",Nouveau-Brunswick,"E3B 1C3",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200101-101-20000439,55935,055935,"GC Site - Fredericton","Site GC - Fredericton","GC Building - Fredericton","Édifice GC - Fredericton","633 Queen Street","633, rue Queen",Fredericton,NB,"New Brunswick",Nouveau-Brunswick,"E3B 1C3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200101-101-20000439,55935,055935,"GC Site - Fredericton","Site GC - Fredericton","GC Building - Fredericton","Édifice GC - Fredericton","633 Queen Street","633, rue Queen",Fredericton,NB,"New Brunswick",Nouveau-Brunswick,"E3B 1C3",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200101-101-20000439,55935,055935,"GC Site - Fredericton","Site GC - Fredericton","GC Building - Fredericton","Édifice GC - Fredericton","633 Queen Street","633, rue Queen",Fredericton,NB,"New Brunswick",Nouveau-Brunswick,"E3B 1C3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200102-101-20000441,04761,004761,"GC Site - Grand Falls","Site GC - Grand Falls","GC Building - Grand Falls","Édifice GC - Grand-Sault","373-377 Broadway Boulevard","373-377, boulevard Broadway","Grand Falls / Grand-Sault",NB,"New Brunswick",Nouveau-Brunswick,"E3Z 2K3",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200102-101-20000441,04761,004761,"GC Site - Grand Falls","Site GC - Grand Falls","GC Building - Grand Falls","Édifice GC - Grand-Sault","373-377 Broadway Boulevard","373-377, boulevard Broadway","Grand Falls / Grand-Sault",NB,"New Brunswick",Nouveau-Brunswick,"E3Z 2K3",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
