Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2024-2025,2024-2025-00131,2,3,1,3
2024-2025,2024-2025-00132,1,1,1,1
2024-2025,2024-2025-00134,1,3,1,3
2024-2025,2024-2025-00135,3,1,1,3
2024-2025,2024-2025-00136,1,1,1,1
2024-2025,2024-2025-00138,1,1,1,1
2024-2025,2024-2025-00154,1,1,1,1
2024-2025,2024-2025-00155,1,1,1,1
2024-2025,2024-2025-00161,1,1,1,1
2024-2025,2024-2025-00166,1,1,2,2
2024-2025,2024-2025-00169,1,1,1,1
2024-2025,2024-2025-00170,1,1,1,1
2024-2025,2024-2025-00172,1,1,1,1
2024-2025,2024-2025-00173,2,1,1,2
2024-2025,2024-2025-00176,1,1,1,1
2024-2025,2024-2025-00177,1,1,1,1
2024-2025,2024-2025-00178,2,1,1,2
2024-2025,2024-2025-00180,1,1,1,1
2024-2025,2024-2025-00181,1,1,1,1
2024-2025,2024-2025-00182,1,1,1,1
2024-2025,2024-2025-00184,2,1,1,2
2024-2025,2024-2025-00185,1,1,1,1
2024-2025,2024-2025-00187,1,1,1,1
2024-2025,2024-2025-00188,1,1,1,1
2024-2025,2024-2025-00189,1,1,1,1
2024-2025,2024-2025-00190,1,1,1,1
2024-2025,2024-2025-00193,1,1,1,1
2024-2025,2024-2025-00194,1,1,1,1
2024-2025,2024-2025-00199,2,1,1,2
2024-2025,2024-2025-00206,1,1,1,1
2024-2025,2024-2025-00207,1,1,1,1
2024-2025,2024-2025-00208,1,1,1,1
2024-2025,2024-2025-00210,1,1,1,1
2024-2025,2024-2025-00212,1,1,1,1
2024-2025,2024-2025-00215,1,1,1,1
2024-2025,2024-2025-00219,1,1,1,1
2024-2025,2024-2025-00221,1,1,1,1
2024-2025,2024-2025-00227,1,1,1,1
2024-2025,2024-2025-00228,1,1,1,1
2024-2025,2024-2025-00230,1,1,1,1
2024-2025,2024-2025-00231,1,1,1,1
2024-2025,2024-2025-00237,1,1,1,1
2024-2025,2024-2025-00238,1,1,1,1
2024-2025,2024-2025-00240,1,1,1,1
2024-2025,2024-2025-00246,1,1,1,1
2024-2025,2024-2025-00247,1,1,1,1
2024-2025,2024-2025-00248,1,1,1,1
2024-2025,2024-2025-00249,1,1,1,1
2024-2025,2024-2025-00250,1,1,1,1
2024-2025,2024-2025-00251,1,1,1,1
2024-2025,2024-2025-00254,1,1,1,1
2024-2025,2024-2025-00255,1,1,1,1
2024-2025,2024-2025-00258,1,1,1,1
2024-2025,2024-2025-00264,2,1,1,2
2024-2025,2024-2025-00266,2,1,1,2
2024-2025,2024-2025-00268,1,1,1,1
2024-2025,2024-2025-00270,1,1,1,1
2024-2025,2024-2025-00272,1,1,1,1
2024-2025,2024-2025-00273,1,1,1,1
2024-2025,2024-2025-00275,1,1,1,1
2024-2025,2024-2025-00277,1,1,1,1
2024-2025,2024-2025-00279,1,1,1,1
2024-2025,2024-2025-00280,1,1,1,1
2024-2025,2024-2025-00281,1,1,1,1
2024-2025,2024-2025-00284,1,1,1,1
2024-2025,2024-2025-00286,1,1,1,1
2024-2025,2024-2025-00287,3,3,1,3
2024-2025,2024-2025-00289,1,1,1,1
2024-2025,2024-2025-00296,1,1,1,1
2024-2025,2024-2025-00301,1,1,1,1
2024-2025,2024-2025-00302,1,1,1,1
2024-2025,2024-2025-00303,1,1,1,1
2024-2025,2024-2025-00310,1,1,1,1
2024-2025,2024-2025-00311,2,1,1,2
2024-2025,2024-2025-00312,2,2,1,2
2024-2025,2024-2025-00313,2,1,1,2
2024-2025,2024-2025-00314,1,1,1,1
2024-2025,2024-2025-00315,1,1,1,1
2024-2025,2024-2025-00319,1,1,1,1
2024-2025,2024-2025-00320,1,1,1,1
2024-2025,2024-2025-00321,1,1,1,1
2024-2025,2024-2025-00322,1,1,1,1
2024-2025,2024-2025-00324,1,1,1,1
2024-2025,2024-2025-00325,1,1,1,1
2024-2025,2024-2025-00326,1,1,1,1
2024-2025,2024-2025-00327,3,2,1,3
2024-2025,2024-2025-00328,1,1,1,1
2024-2025,2024-2025-00329,1,1,1,1
2024-2025,2024-2025-00335,2,1,1,2
2024-2025,2024-2025-00336,2,2,2,2
2024-2025,2024-2025-00339,1,1,1,1
2024-2025,2024-2025-00341,1,1,1,1
2024-2025,2024-2025-00343,1,1,1,1
2024-2025,2024-2025-00346,2,1,1,2
2024-2025,2024-2025-00347,2,1,1,2
2024-2025,2024-2025-00350,2,1,1,2
2024-2025,2024-2025-00353,1,1,1,1
2024-2025,2024-2025-00360,1,1,1,1
2024-2025,2024-2025-00361,1,1,1,1
2024-2025,2024-2025-00364,2,1,1,2
2024-2025,2024-2025-00365,1,1,1,1
2024-2025,2024-2025-00368,2,1,1,2
2024-2025,2024-2025-00370,1,1,1,1
2024-2025,2024-2025-00371,3,3,2,3
2024-2025,2024-2025-00372,1,1,1,1
2024-2025,2024-2025-00373,1,1,1,1
2024-2025,2024-2025-00374,1,1,1,1
2024-2025,2024-2025-00375,1,1,1,1
2024-2025,2024-2025-00376,1,1,1,1
2024-2025,2024-2025-00378,1,1,1,1
2024-2025,2024-2025-00380,2,2,1,2
2024-2025,2024-2025-00381,1,1,1,1
2024-2025,2024-2025-00382,2,2,3,3
2024-2025,2024-2025-00390,1,1,1,1
2024-2025,2024-2025-00393,1,1,1,1
2024-2025,2024-2025-00394,1,1,1,1
2024-2025,2024-2025-00407,1,1,1,1
2024-2025,2024-2025-00414,1,1,1,1
2024-2025,2024-2025-00415,1,1,1,1
2024-2025,2024-2025-00418,2,1,1,2
2024-2025,2024-2025-00419,1,1,1,1
2024-2025,2024-2025-00420,2,2,1,2
2024-2025,2024-2025-00423,1,1,1,1
2024-2025,2024-2025-00425,1,1,1,1
2024-2025,2024-2025-00427,1,1,1,1
2024-2025,2024-2025-00428,1,1,1,1
2024-2025,2024-2025-00429,1,1,1,1
2024-2025,2024-2025-00430,2,1,1,2
2024-2025,2024-2025-00432,1,1,1,1
2024-2025,2024-2025-00433,1,1,1,1
2024-2025,2024-2025-00435,1,1,1,1
2024-2025,2024-2025-00438,1,1,1,1
2024-2025,2024-2025-00439,1,1,1,1
2024-2025,2024-2025-00440,1,1,1,1
2024-2025,2024-2025-00442,1,1,1,1
2024-2025,2024-2025-00443,2,2,2,2
2024-2025,2024-2025-00444,2,1,1,2
2024-2025,2024-2025-00445,1,1,1,1
2024-2025,2024-2025-00447,1,1,1,1
2024-2025,2024-2025-00448,2,2,2,2
2024-2025,2024-2025-00449,2,1,1,2
2024-2025,2024-2025-00452,2,1,1,2
2024-2025,2024-2025-00454,1,1,1,1
2024-2025,2024-2025-00455,1,1,1,1
2024-2025,2024-2025-00456,1,1,1,1
2024-2025,2024-2025-00458,1,1,1,1
2024-2025,2024-2025-00459,1,1,1,1
2024-2025,2024-2025-00461,1,1,1,1
2024-2025,2024-2025-00462,1,1,1,1
2024-2025,2024-2025-00463,1,1,1,1
2024-2025,2024-2025-00464,2,1,1,2
2024-2025,2024-2025-00465,1,1,1,1
2024-2025,2024-2025-00466,1,1,1,1
2024-2025,2024-2025-00467,1,1,1,1
2024-2025,2024-2025-00469,1,1,1,1
2024-2025,2024-2025-00470,1,1,1,1
2024-2025,2024-2025-00471,2,1,2,2
2024-2025,2024-2025-00472,1,1,1,1
2024-2025,2024-2025-00473,1,1,1,1
2024-2025,2024-2025-00474,1,1,1,1
2024-2025,2024-2025-00478,1,1,1,1
2024-2025,2024-2025-00479,1,1,1,1
2024-2025,2024-2025-00480,1,1,1,1
2024-2025,2024-2025-00483,2,2,2,2
2024-2025,2024-2025-00485,1,1,1,1
2024-2025,2024-2025-00486,1,1,1,1
2024-2025,2024-2025-00494,2,2,1,2
2024-2025,2024-2025-00499,1,1,1,1
2024-2025,2024-2025-00502,1,1,1,1
2024-2025,2024-2025-00503,1,1,1,1
2024-2025,2024-2025-00504,1,1,1,1
2024-2025,2024-2025-00505,1,1,1,1
2024-2025,2024-2025-00506,1,1,1,1
2024-2025,2024-2025-00508,1,1,1,1
2024-2025,2024-2025-00509,1,1,1,1
2024-2025,2024-2025-00510,1,1,1,1
2024-2025,2024-2025-00511,1,1,1,1
2024-2025,2024-2025-00513,1,1,1,1
2024-2025,2024-2025-00514,1,1,1,1
2024-2025,2024-2025-00515,2,1,1,2
2024-2025,2024-2025-00516,2,1,2,2
2024-2025,2024-2025-00520,1,1,1,1
2024-2025,2024-2025-00521,1,1,1,1
2024-2025,2024-2025-00522,1,1,1,1
2024-2025,2024-2025-00523,1,1,1,1
2024-2025,2024-2025-00530,1,1,1,1
2024-2025,2024-2025-00531,2,1,1,2
2024-2025,2024-2025-00532,1,1,1,1
2024-2025,2024-2025-00533,1,1,1,1
2024-2025,2024-2025-00534,1,1,1,1
2024-2025,2024-2025-00536,1,1,1,1
2024-2025,2024-2025-00537,1,1,1,1
2024-2025,2024-2025-00539,2,2,1,2
2024-2025,2024-2025-00540,1,1,1,1
2024-2025,2024-2025-00542,1,1,1,1
2024-2025,2024-2025-00544,1,1,1,1
2024-2025,2024-2025-00545,1,1,1,1
2024-2025,2024-2025-00546,1,1,1,1
2024-2025,2024-2025-00549,2,1,1,2
2024-2025,2024-2025-00550,2,1,2,2
2024-2025,2024-2025-00551,1,1,1,1
2024-2025,2024-2025-00552,1,1,1,1
2024-2025,2024-2025-00553,1,1,1,1
2024-2025,2024-2025-00555,1,1,1,1
2024-2025,2024-2025-00556,1,1,1,1
2024-2025,2024-2025-00558,3,3,2,3
2024-2025,2024-2025-00560,1,1,1,1
2024-2025,2024-2025-00561,1,1,1,1
2024-2025,2024-2025-00565,1,1,1,1
2024-2025,2024-2025-00566,1,1,1,1
2024-2025,2024-2025-00567,1,1,1,1
2024-2025,2024-2025-00569,1,1,1,1
2024-2025,2024-2025-00571,1,1,1,1
2024-2025,2024-2025-00572,1,1,1,1
2024-2025,2024-2025-00577,1,1,2,2
2024-2025,2024-2025-00582,2,1,1,2
2024-2025,2024-2025-00590,1,1,1,1
2024-2025,2024-2025-00599,1,1,1,1
2024-2025,2024-2025-00600,2,2,2,2
2024-2025,2024-2025-00602,1,1,1,1
2024-2025,2024-2025-00604,1,1,1,1
2024-2025,2024-2025-00607,1,1,1,1
2024-2025,2024-2025-00615,1,2,1,2
2024-2025,2024-2025-00617,1,1,1,1
2024-2025,2024-2025-00618,1,1,1,1
2024-2025,2024-2025-00620,1,1,1,1
2024-2025,2024-2025-00621,1,1,1,1
2024-2025,2024-2025-00622,1,1,1,1
2024-2025,2024-2025-00623,1,1,1,1
2024-2025,2024-2025-00624,1,1,1,1
2024-2025,2024-2025-00625,1,1,1,1
2024-2025,2024-2025-00626,1,1,1,1
2024-2025,2024-2025-00627,1,1,1,1
2024-2025,2024-2025-00628,1,1,1,1
2024-2025,2024-2025-00629,1,1,1,1
2024-2025,2024-2025-00630,1,1,1,1
2024-2025,2024-2025-00631,1,1,1,1
2024-2025,2024-2025-00632,1,1,1,1
2024-2025,2024-2025-00633,1,1,1,1
2024-2025,2024-2025-00635,1,1,1,1
2024-2025,2024-2025-00636,1,1,1,1
2024-2025,2024-2025-00638,1,1,1,1
2024-2025,2024-2025-00639,1,1,1,1
2024-2025,2024-2025-00644,1,1,2,2
2024-2025,2024-2025-00645,1,1,1,1
2024-2025,2024-2025-00648,1,1,1,1
2024-2025,2024-2025-00651,1,1,1,1
2024-2025,2024-2025-00652,1,1,1,1
2024-2025,2024-2025-00653,3,1,1,3
2024-2025,2024-2025-00655,1,1,1,1
2024-2025,2024-2025-00656,1,1,1,1
2024-2025,2024-2025-00657,2,1,1,2
2024-2025,2024-2025-00660,1,1,1,1
2024-2025,2024-2025-00663,1,1,1,1
2024-2025,2024-2025-00668,1,1,1,1
2024-2025,2024-2025-00670,1,1,1,1
2024-2025,2024-2025-00671,1,1,1,1
2024-2025,2024-2025-00673,2,2,2,2
2024-2025,2024-2025-00676,1,1,1,1
2024-2025,2024-2025-00677,1,1,1,1
2024-2025,2024-2025-00678,1,1,2,2
2024-2025,2024-2025-00679,1,2,1,2
2024-2025,2024-2025-00682,1,1,1,1
2024-2025,2024-2025-00686,1,1,1,1
2024-2025,2024-2025-00687,1,1,1,1
2024-2025,2024-2025-00688,1,1,1,1
2024-2025,2024-2025-00689,1,1,1,1
2024-2025,2024-2025-00690,1,1,1,1
2024-2025,2024-2025-00691,1,1,1,1
2024-2025,2024-2025-00692,1,1,1,1
2024-2025,2024-2025-00694,1,1,1,1
2024-2025,2024-2025-00695,1,1,1,1
2024-2025,2024-2025-00696,1,1,1,1
2024-2025,2024-2025-00697,1,1,1,1
2024-2025,2024-2025-00698,1,1,1,1
2024-2025,2024-2025-00699,1,1,1,1
2024-2025,2024-2025-00700,1,1,1,1
2024-2025,2024-2025-00701,1,1,1,1
2024-2025,2024-2025-00703,1,1,1,1
2024-2025,2024-2025-00706,1,1,1,1
2024-2025,2024-2025-00710,1,1,1,1
2024-2025,2024-2025-00711,1,1,1,1
2024-2025,2024-2025-00712,1,1,1,1
2024-2025,2024-2025-00713,1,1,1,1
2024-2025,2024-2025-00715,1,1,1,1
2024-2025,2024-2025-00721,2,2,1,2
2024-2025,2024-2025-00723,1,1,1,1
2024-2025,2024-2025-00724,1,1,1,1
2024-2025,2024-2025-00726,1,1,1,1
2024-2025,2024-2025-00727,1,1,1,1
2024-2025,2024-2025-00728,1,1,1,1
2024-2025,2024-2025-00732,1,1,1,1
2024-2025,2024-2025-00734,2,1,1,2
2024-2025,2024-2025-00738,1,1,1,1
2024-2025,2024-2025-00739,1,1,1,1
2024-2025,2024-2025-00743,1,1,1,1
2024-2025,2024-2025-00744,1,1,1,1
2024-2025,2024-2025-00746,1,1,1,1
2024-2025,2024-2025-00747,1,1,1,1
2024-2025,2024-2025-00755,1,1,1,1
2024-2025,2024-2025-00756,1,1,1,1
2024-2025,2024-2025-00757,1,1,1,1
2024-2025,2024-2025-00763,1,1,1,1
2024-2025,2024-2025-00764,1,1,1,1
2024-2025,2024-2025-00766,1,1,1,1
2024-2025,2024-2025-00815,1,1,1,1
2024-2025,2024-2025-00817,1,1,1,1
2024-2025,2024-2025-00818,1,1,1,1
2024-2025,2024-2025-00819,1,1,1,1
2024-2025,2024-2025-00820,1,1,1,1
2024-2025,2024-2025-00824,1,1,1,1
2024-2025,2024-2025-00827,1,1,1,1
2024-2025,2024-2025-00828,1,2,1,2
2024-2025,2024-2025-00829,1,1,1,1
2024-2025,2024-2025-00831,2,1,2,2
2024-2025,2024-2025-00832,1,1,1,1
2024-2025,2024-2025-00834,1,1,1,1
2024-2025,2024-2025-00835,1,1,1,1
2024-2025,2024-2025-00836,1,1,1,1
2024-2025,2024-2025-00839,1,1,1,1
2024-2025,2024-2025-00843,1,1,1,1
2024-2025,2024-2025-00846,1,1,1,1
2024-2025,2024-2025-00849,1,1,1,1
2024-2025,2024-2025-00851,1,1,1,1
2024-2025,2024-2025-00852,1,1,1,1
2024-2025,2024-2025-00856,1,1,1,1
2024-2025,2024-2025-00860,1,2,2,2
2024-2025,2024-2025-00866,1,1,1,1
2024-2025,2024-2025-00868,1,1,1,1
2024-2025,2024-2025-00869,1,1,1,1
2024-2025,2024-2025-00872,1,1,1,1
2024-2025,2024-2025-00873,1,1,1,1
2024-2025,2024-2025-00876,1,1,1,1
2024-2025,2024-2025-00881,1,1,1,1
2024-2025,2024-2025-00885,1,1,1,1
2024-2025,2024-2025-00890,1,1,1,1
2024-2025,2024-2025-00895,2,1,1,2
2024-2025,2024-2025-00897,1,1,1,1
2024-2025,2024-2025-00898,1,1,1,1
2024-2025,2024-2025-00899,1,1,1,1
2024-2025,2024-2025-00901,1,1,1,1
2024-2025,2024-2025-00902,1,1,1,1
2024-2025,2024-2025-00913,1,1,1,1
2024-2025,2024-2025-00915,1,1,1,1
2024-2025,2024-2025-00918,1,1,1,1
2024-2025,2024-2025-00919,1,1,1,1
2024-2025,2024-2025-00920,1,1,1,1
2024-2025,2024-2025-00921,1,1,1,1
2024-2025,2024-2025-00922,1,1,1,1
2024-2025,2024-2025-00924,1,2,1,2
2024-2025,2024-2025-00925,1,1,1,1
2024-2025,2024-2025-00926,1,1,1,1
2024-2025,2024-2025-00927,1,1,1,1
2024-2025,2024-2025-00929,1,1,1,1
2024-2025,2024-2025-00931,1,1,1,1
2024-2025,2024-2025-00932,1,1,1,1
2024-2025,2024-2025-00933,1,1,1,1
2024-2025,2024-2025-00935,1,1,1,1
2024-2025,2024-2025-00936,1,1,1,1
2024-2025,2024-2025-00942,1,1,1,1
2024-2025,2024-2025-00944,3,2,1,3
2024-2025,2024-2025-00945,1,1,1,1
2024-2025,2024-2025-00946,1,1,1,1
2024-2025,2024-2025-00948,1,1,1,1
2024-2025,2024-2025-00949,1,1,1,1
2024-2025,2024-2025-00952,1,1,1,1
2024-2025,2024-2025-00953,1,1,1,1
2024-2025,2024-2025-00957,1,1,1,1
2024-2025,2024-2025-00958,1,1,1,1
2024-2025,2024-2025-00960,1,1,1,1
2024-2025,2024-2025-00961,1,1,1,1
2024-2025,2024-2025-00965,1,1,1,1
2024-2025,2024-2025-00966,1,1,1,1
2024-2025,2024-2025-00970,3,2,2,3
2024-2025,2024-2025-00971,1,1,1,1
2024-2025,2024-2025-00972,1,1,1,1
2024-2025,2024-2025-00975,1,1,1,1
2024-2025,2024-2025-00984,1,1,1,1
2024-2025,2024-2025-00985,2,2,1,2
2024-2025,2024-2025-00986,1,1,1,1
2024-2025,2024-2025-00988,1,1,1,1
2024-2025,2024-2025-00989,1,1,1,1
2024-2025,2024-2025-00990,1,1,1,1
2024-2025,2024-2025-00991,1,1,1,1
2024-2025,2024-2025-00992,1,1,1,1
2024-2025,2024-2025-00996,1,1,1,1
2024-2025,2024-2025-00997,1,1,1,1
2024-2025,2024-2025-00998,1,1,1,1
2024-2025,2024-2025-00999,1,1,1,1
2024-2025,2024-2025-01000,1,1,1,1
2024-2025,2024-2025-01001,1,1,1,1
2024-2025,2024-2025-01004,1,1,1,1
2024-2025,2024-2025-01007,2,1,1,2
2024-2025,2024-2025-01008,1,1,1,1
2024-2025,2024-2025-01011,1,1,1,1
2024-2025,2024-2025-01012,1,1,1,1
2024-2025,2024-2025-01017,1,1,1,1
2024-2025,2024-2025-01019,1,1,1,1
2024-2025,2024-2025-01020,1,1,1,1
2024-2025,2024-2025-01021,3,3,3,3
2024-2025,2024-2025-01023,1,1,1,1
2024-2025,2024-2025-01025,1,1,1,1
2024-2025,2024-2025-01028,3,1,3,3
2024-2025,2024-2025-01030,1,1,1,1
2024-2025,2024-2025-01031,3,3,2,3
2024-2025,2024-2025-01032,1,1,2,2
2024-2025,2024-2025-01033,1,1,1,1
2024-2025,2024-2025-01034,2,2,2,2
2024-2025,2024-2025-01035,1,1,1,1
2024-2025,2024-2025-01037,1,1,1,1
2024-2025,2024-2025-01038,1,1,1,1
2024-2025,2024-2025-01039,1,1,1,1
2024-2025,2024-2025-01040,1,1,1,1
2024-2025,2024-2025-01042,1,1,1,1
2024-2025,2024-2025-01044,1,1,1,1
2024-2025,2024-2025-01045,1,1,1,1
2024-2025,2024-2025-01046,1,1,1,1
2024-2025,2024-2025-01048,1,1,1,1
2024-2025,2024-2025-01049,1,1,1,1
2024-2025,2024-2025-01050,1,1,1,1
2024-2025,2024-2025-01053,1,1,1,1
2024-2025,2024-2025-01055,2,2,3,3
2024-2025,2024-2025-01056,1,1,1,1
2024-2025,2024-2025-01058,1,1,1,1
2024-2025,2024-2025-01059,1,1,1,1
2024-2025,2024-2025-01060,1,1,1,1
2024-2025,2024-2025-01065,1,2,2,2
2024-2025,2024-2025-01070,1,1,1,1
2024-2025,2024-2025-01073,1,1,1,1
2024-2025,2024-2025-01074,1,1,1,1
2024-2025,2024-2025-01076,1,1,1,1
2024-2025,2024-2025-01077,2,2,1,2
2024-2025,2024-2025-01079,1,1,1,1
2024-2025,2024-2025-01080,1,1,1,1
2024-2025,2024-2025-01082,1,1,1,1
2024-2025,2024-2025-01084,1,1,1,1
2024-2025,2024-2025-01085,2,1,1,2
2024-2025,2024-2025-01087,1,1,1,1
2024-2025,2024-2025-01091,1,1,1,1
2024-2025,2024-2025-01093,2,2,2,2
2024-2025,2024-2025-01095,3,1,1,3
2024-2025,2024-2025-01096,1,1,1,1
2024-2025,2024-2025-01099,1,1,1,1
2024-2025,2024-2025-01100,1,1,1,1
2024-2025,2024-2025-01101,1,1,1,1
2024-2025,2024-2025-01102,1,1,1,1
2024-2025,2024-2025-01104,1,1,1,1
2024-2025,2024-2025-01105,1,1,1,1
2024-2025,2024-2025-01106,1,1,1,1
2024-2025,2024-2025-01107,2,1,1,2
2024-2025,2024-2025-01108,1,1,1,1
2024-2025,2024-2025-01112,1,1,1,1
2024-2025,2024-2025-01114,1,1,1,1
2024-2025,2024-2025-01115,1,1,1,1
2024-2025,2024-2025-01116,1,1,1,1
2024-2025,2024-2025-01119,2,1,1,2
2024-2025,2024-2025-01120,1,1,1,1
2024-2025,2024-2025-01121,1,1,1,1
2024-2025,2024-2025-01122,1,1,1,1
2024-2025,2024-2025-01123,1,1,1,1
2024-2025,2024-2025-01124,3,1,1,3
2024-2025,2024-2025-01127,2,2,1,2
2024-2025,2024-2025-01128,1,1,1,1
2024-2025,2024-2025-01130,1,1,1,1
2024-2025,2024-2025-01134,1,1,1,1
2024-2025,2024-2025-01138,1,3,3,3
2024-2025,2024-2025-01139,2,1,1,2
2024-2025,2024-2025-01140,1,1,1,1
2024-2025,2024-2025-01142,2,1,2,2
2024-2025,2024-2025-01145,1,1,1,1
2024-2025,2024-2025-01146,2,1,1,2
2024-2025,2024-2025-01151,2,1,1,2
2024-2025,2024-2025-01154,3,3,1,3
2024-2025,2024-2025-01156,1,1,1,1
2024-2025,2024-2025-01159,1,1,1,1
2024-2025,2024-2025-01161,1,1,1,1
2024-2025,2024-2025-01162,1,1,1,1
2024-2025,2024-2025-01163,1,1,1,1
2024-2025,2024-2025-01164,1,1,1,1
2024-2025,2024-2025-01165,1,1,1,1
2024-2025,2024-2025-01166,1,1,1,1
2024-2025,2024-2025-01167,1,1,1,1
2024-2025,2024-2025-01169,2,2,2,2
2024-2025,2024-2025-01177,1,1,1,1
2024-2025,2024-2025-01179,1,1,1,1
2024-2025,2024-2025-01180,1,1,1,1
2024-2025,2024-2025-01181,1,1,1,1
2024-2025,2024-2025-01182,1,1,1,1
2024-2025,2024-2025-01184,2,1,1,2
2024-2025,2024-2025-01185,1,1,1,1
2024-2025,2024-2025-01186,2,1,1,2
2024-2025,2024-2025-01187,1,1,1,1
2024-2025,2024-2025-01188,1,1,1,1
2024-2025,2024-2025-01191,1,1,1,1
2024-2025,2024-2025-01196,1,1,1,1
2024-2025,2024-2025-01197,1,1,1,1
2024-2025,2024-2025-01198,1,1,1,1
2024-2025,2024-2025-01205,1,1,1,1
2024-2025,2024-2025-01206,1,1,1,1
2024-2025,2024-2025-01208,1,1,1,1
2024-2025,2024-2025-01209,1,1,1,1
2024-2025,2024-2025-01210,1,1,1,1
2024-2025,2024-2025-01215,3,1,3,3
2024-2025,2024-2025-01218,1,1,1,1
2024-2025,2024-2025-01219,1,1,1,1
2024-2025,2024-2025-01223,1,1,1,1
2024-2025,2024-2025-01224,1,1,1,1
2024-2025,2024-2025-01227,1,1,1,1
2024-2025,2024-2025-01229,1,1,1,1
2024-2025,2024-2025-01237,1,1,1,1
2024-2025,2024-2025-01238,1,1,1,1
2024-2025,2024-2025-01239,1,1,1,1
2024-2025,2024-2025-01240,1,1,2,2
2024-2025,2024-2025-01241,1,1,1,1
2024-2025,2024-2025-01242,1,1,1,1
2024-2025,2024-2025-01243,1,1,1,1
