Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2024-2025,2024-2025-00002,1,1,1,1
2024-2025,2024-2025-00003,1,1,1,1
2024-2025,2024-2025-00005,1,1,1,1
2024-2025,2024-2025-00006,1,1,1,1
2024-2025,2024-2025-00010,1,1,1,1
2024-2025,2024-2025-00011,2,1,1,2
2024-2025,2024-2025-00012,2,1,1,2
2024-2025,2024-2025-00014,1,1,1,1
2024-2025,2024-2025-00015,1,1,1,1
2024-2025,2024-2025-00016,1,1,1,1
2024-2025,2024-2025-00017,1,1,2,2
2024-2025,2024-2025-00019,1,1,2,2
2024-2025,2024-2025-00020,2,1,1,2
2024-2025,2024-2025-00021,1,1,1,1
2024-2025,2024-2025-00023,1,1,1,1
2024-2025,2024-2025-00025,2,1,1,2
2024-2025,2024-2025-00028,1,1,1,1
2024-2025,2024-2025-00030,1,1,1,1
2024-2025,2024-2025-00032,1,1,1,1
2024-2025,2024-2025-00033,1,1,1,1
2024-2025,2024-2025-00035,1,1,1,1
2024-2025,2024-2025-00037,1,1,1,1
2024-2025,2024-2025-00039,1,1,1,1
2024-2025,2024-2025-00041,1,1,1,1
2024-2025,2024-2025-00042,1,1,1,1
2024-2025,2024-2025-00043,1,1,1,1
2024-2025,2024-2025-00046,1,1,2,2
2024-2025,2024-2025-00049,2,1,1,2
2024-2025,2024-2025-00050,2,1,1,2
2024-2025,2024-2025-00051,1,1,1,1
2024-2025,2024-2025-00052,3,1,1,3
2024-2025,2024-2025-00053,2,1,1,2
2024-2025,2024-2025-00054,2,1,1,2
2024-2025,2024-2025-00055,1,1,1,1
2024-2025,2024-2025-00057,1,1,1,1
2024-2025,2024-2025-00059,1,1,1,1
2024-2025,2024-2025-00060,3,1,1,3
2024-2025,2024-2025-00062,1,1,1,1
2024-2025,2024-2025-00063,1,1,2,2
2024-2025,2024-2025-00064,2,1,1,2
2024-2025,2024-2025-00066,1,1,1,1
2024-2025,2024-2025-00067,1,1,1,1
2024-2025,2024-2025-00068,2,1,1,2
2024-2025,2024-2025-00071,1,1,1,1
2024-2025,2024-2025-00077,1,1,1,1
2024-2025,2024-2025-00078,3,1,1,3
2024-2025,2024-2025-00083,1,1,1,1
2024-2025,2024-2025-00084,1,1,1,1
2024-2025,2024-2025-00085,3,3,1,3
2024-2025,2024-2025-00086,1,1,1,1
2024-2025,2024-2025-00087,1,1,1,1
2024-2025,2024-2025-00088,1,1,1,1
2024-2025,2024-2025-00089,1,1,1,1
2024-2025,2024-2025-00090,1,1,1,1
2024-2025,2024-2025-00091,1,1,1,1
2024-2025,2024-2025-00092,1,1,1,1
2024-2025,2024-2025-00093,1,1,1,1
2024-2025,2024-2025-00094,1,1,1,1
2024-2025,2024-2025-00095,1,1,1,1
2024-2025,2024-2025-00097,1,1,1,1
2024-2025,2024-2025-00098,1,1,1,1
2024-2025,2024-2025-00099,1,1,1,1
2024-2025,2024-2025-00101,1,1,1,1
2024-2025,2024-2025-00102,1,1,1,1
2024-2025,2024-2025-00103,1,1,1,1
2024-2025,2024-2025-00104,1,1,1,1
2024-2025,2024-2025-00105,2,1,1,2
2024-2025,2024-2025-00106,1,1,1,1
2024-2025,2024-2025-00107,1,1,1,1
2024-2025,2024-2025-00108,1,1,1,1
2024-2025,2024-2025-00110,1,1,1,1
2024-2025,2024-2025-00111,1,1,1,1
2024-2025,2024-2025-00112,1,1,1,1
2024-2025,2024-2025-00113,1,1,1,1
2024-2025,2024-2025-00114,2,1,1,2
2024-2025,2024-2025-00115,2,1,1,2
2024-2025,2024-2025-00116,1,1,1,1
2024-2025,2024-2025-00117,1,1,1,1
2024-2025,2024-2025-00118,1,1,1,1
2024-2025,2024-2025-00119,1,1,1,1
2024-2025,2024-2025-00126,1,1,1,1
2024-2025,2024-2025-00128,1,1,1,1
2024-2025,2024-2025-00129,1,1,1,1
2024-2025,2024-2025-00130,1,1,1,1
