Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-00216,1,1,1,1
2021-2022,2021-2022-00220,1,1,1,1
2021-2022,2021-2022-00222,1,1,1,1
2021-2022,2021-2022-00223,1,1,1,1
2021-2022,2021-2022-00225,1,1,1,1
2021-2022,2021-2022-00226,1,1,1,1
2021-2022,2021-2022-00227,1,1,1,1
2021-2022,2021-2022-00228,1,1,1,1
2021-2022,2021-2022-00231,1,1,1,1
2021-2022,2021-2022-00232,1,1,1,1
2021-2022,2021-2022-00233,1,1,1,1
2021-2022,2021-2022-00239,1,1,1,1
2021-2022,2021-2022-00240,1,0,0,1
2021-2022,2021-2022-00241,1,1,1,1
2021-2022,2021-2022-00242,1,1,1,1
2021-2022,2021-2022-00243,1,1,1,1
2021-2022,2021-2022-00245,1,1,1,1
2021-2022,2021-2022-00246,1,1,1,1
2021-2022,2021-2022-00247,1,1,1,1
2021-2022,2021-2022-00248,1,1,1,1
2021-2022,2021-2022-00250,1,1,1,1
2021-2022,2021-2022-00252,1,1,1,1
2021-2022,2021-2022-00254,1,1,1,1
2021-2022,2021-2022-00257,1,1,1,1
2021-2022,2021-2022-00258,2,3,1,3
2021-2022,2021-2022-00260,1,1,1,1
2021-2022,2021-2022-00270,1,1,1,1
2021-2022,2021-2022-00272,1,1,1,1
2021-2022,2021-2022-00273,1,1,1,1
2021-2022,2021-2022-00274,1,1,1,1
2021-2022,2021-2022-00276,1,1,1,1
2021-2022,2021-2022-00278,1,1,1,1
2021-2022,2021-2022-00279,1,1,1,1
2021-2022,2021-2022-00280,1,1,1,1
2021-2022,2021-2022-00281,1,1,1,1
2021-2022,2021-2022-00282,1,1,1,1
2021-2022,2021-2022-00283,1,1,1,1
2021-2022,2021-2022-00288,1,1,1,1
2021-2022,2021-2022-00289,3,1,1,3
